:START_ID(Document),:END_ID(Location),:TYPE
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2013-04-30_1,Primo,MENTIONS
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2019-05-28,AI,MENTIONS
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2019-05-28,Chicago,MENTIONS
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2019-05-28,EK,MENTIONS
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2019-05-28,Illinois,MENTIONS
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2019-05-28,MO,MENTIONS
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2019-05-28,SC4D,MENTIONS
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2019-10-31,Alma,MENTIONS
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2019-10-31,Chicago,MENTIONS
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2019-10-31,Libraries,MENTIONS
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2019-10-31,New York,MENTIONS
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2013-06-25,Archon,MENTIONS
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2013-06-25,Benardino,MENTIONS
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2013-06-25,Discover,MENTIONS
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2013-06-25,LA,MENTIONS
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2013-06-25,MARC,MENTIONS
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2013-06-25,Primo,MENTIONS
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2013-06-25,SFX Knowledgebase,MENTIONS
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2019-08-29,AI,MENTIONS
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2019-08-29,Alma,MENTIONS
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2019-08-29,Chicago,MENTIONS
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2019-08-29,Illinois,MENTIONS
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2019-08-29,Preservation,MENTIONS
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2019-08-29,Primo,MENTIONS
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2014-09-25,ContentDM,MENTIONS
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2014-03-04,Champaign,MENTIONS
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2014-03-04,EL,MENTIONS
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2014-03-04,Maryland,MENTIONS
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2014-03-04,XC,MENTIONS
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2013-04-30,Archon,MENTIONS
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2013-04-30,Illinois Harvest,MENTIONS
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2013-04-30,M Norman,MENTIONS
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2013-04-30,Primo,MENTIONS
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2013-01-29,Habing,MENTIONS
