:START_ID(Document),:END_ID(Location),:TYPE
Social Media Working Group__Minutes__Social Media Working Group_Minutes_2018-10-19,Linkedin,MENTIONS
Social Media Working Group__Minutes__Social Media Working Group_Minutes_2018-10-19,Weibo,MENTIONS
Social Media Working Group__Minutes__Social Media Working Group_Minutes_2016-03-17,Concerns,MENTIONS
Social Media Working Group__Minutes__Social Media Working Group_Minutes_2017-04-20,Yearlong,MENTIONS
Social Media Working Group__Minutes__Social Media Working Group_Minutes_2016-04-25,Illinois,MENTIONS
Social Media Working Group__Minutes__Social Media Working Group_Minutes_2016-04-25,c. Blogs,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2000-07-17,Requesting,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2012-12-17,Primo,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2015-06-08,Minnesota,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2003-05-05,Illinois,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2012-09-10,Primo,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2000-01-24,San Antonio,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2002-01-14,Colorado,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2002-01-14,Colorado Springs,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2002-01-14,New Orleans,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2007-03-12,Merinda,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2008-09-08,Merinda,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2008-10-13,Lisa,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2008-10-13,Merinda,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2008-10-13,Nathan,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2008-10-13,Urbana,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2007-02-12,Merinda,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2007-02-12,U.S,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2007-02-12,butt,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2002-10-14,Requesting,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2013-12-09,Grand Rapids,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2013-12-09,Illinois,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2013-12-09,LibGuides,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2013-12-09,Library 314,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2013-12-09,Merinda,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2013-12-09,Michigan,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2013-12-09,Oregon,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2013-12-09,Palos Hills,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2013-12-09,Portland,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2013-12-09,Rock Island,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2013-12-09,US,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2013-12-09,the United States,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2000-11-13,Unit Heads,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2016-07-11,Minnesota,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2011-09-12,Merinda,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2011-09-12,Nashville,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2000-04-10,Thurs,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2013-10-14,Illinois,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2011-11-14,Camtasia,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2011-11-14,Chicago,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2011-11-14,Freshman,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2011-11-14,Megan,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2011-11-14,Merinda,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2001-09-10,Cindy,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2011-12-12,Dubai,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2011-12-12,Merinda,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2011-12-12,Montréal,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2018-04-09,Library 428,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2018-04-09,Merinda,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2018-04-09,OA,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2009-04-13,Merinda,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2000-03-13,G.A.,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2013-09-09,Ann Arbor,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2012-05-14,Carissa,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2012-05-14,Merinda,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2001-08-13,Cindy,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2008-04-14,Illinois,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2007-12-17,Camtasia,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2007-12-17,Immersion,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2007-12-17,Library 428,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2007-12-17,Merinda,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2007-12-17,Winter Break,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2008-03-10,Library 428,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2008-03-10,Merinda,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2008-03-10,Reference,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2009-01-12,Illinois,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2009-01-12,Merinda,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2008-02-11,Camtasia,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2008-02-11,Immersion,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2008-02-11,Library 428,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2008-02-11,Merinda,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2008-02-11,Reference,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2017-08-14,LibApps,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2014-03-10,Merinda,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2016-05-09,Jametrius,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2016-05-09,LibWizard,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2016-05-09,Michigan,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2016-05-09,Minnesota,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2016-05-09,Virginia,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2012-06-11,Primo,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2000-06-12,LAS,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2012-02-13,Finland,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2012-02-13,Merinda,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2012-02-13,Primo,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2012-02-13,Tampere,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2012-03-12,Illinois,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2012-03-12,Primo,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2007-09-10,Bernice,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2007-09-10,Merinda,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2007-09-10,Nathan,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2007-09-10,Oracle,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2002-04-08,Chicago,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2002-04-08,Fall,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2002-04-08,the Illini Union,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2015-11-09,Milwaukee,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2015-11-09,Rebecca,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2013-11-11,Denmark,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2013-11-11,Grand Rapids,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2013-11-11,Illinois,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2013-11-11,Merinda,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2013-11-11,Michigan,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2013-11-11,Oregon,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2013-11-11,Palos Hills,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2013-11-11,Portland,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2013-11-11,Rock Island,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2013-05-13,Merinda,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2013-05-13,Savvy,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2009-05-11,Library 428,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2009-05-11,Merinda,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2009-05-11,Reference,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2009-05-11,US,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2013-04-08,Camtasia,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2013-04-08,Illinois,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2013-04-08,MOOCs,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2013-04-08,Singapore,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2015-05-11,Arizona,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2015-05-11,Credo,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2015-05-11,n’t,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2014-02-10,Ann Arbor,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2014-02-10,Grand Rapids,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2014-02-10,Illinois,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2014-02-10,Merinda,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2014-02-10,Michigan,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2014-02-10,Oregon,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2014-02-10,Palos Hills,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2014-02-10,Portland,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2014-02-10,Rock Island,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2018-02-12,Heartland,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2018-02-12,Loyola,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2018-02-12,Merinda,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2018-02-12,Universities,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2013-03-11,Camtasia,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2013-03-11,Merinda,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2013-03-11,Primo,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2002-03-11,Julia,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2002-03-11,Michigan,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2002-03-11,Ypsilanti,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2008-07-14,Library 428,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2008-07-14,Merinda,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2012-01-09,JoAnn,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2012-01-09,Merinda,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2012-10-08,China,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2000-09-11,Oct,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2000-09-11,Undergrad,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2014-07-14,Brazil,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2014-07-14,China,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2014-07-14,India,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2014-07-14,Piktochart,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2014-07-14,PowToon,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2014-07-14,South Korea,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2014-07-14,the Mortenson Center,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2013-09-16,Indiana,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2013-09-16,West Lafayette,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2002-02-11,Michigan,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2002-02-11,Ypsilanti,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2008-05-12,Library 428,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2008-05-12,Linguistics,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2008-05-12,Merinda,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2006-11-13,Library 428,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2006-11-13,Reference,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2006-11-13,Systems,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2011-10-10,Burlington,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2011-10-10,Immersion,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2011-10-10,Merinda,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2011-10-10,Vermont,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2004-03-08,Rochester,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2004-03-08,Searchpath,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2014-05-12,Chicago,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2014-05-12,Merinda,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2009-02-09,Illinois,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2009-02-09,Merinda,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2018-06-11,Illinois State,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2012-11-12,Libraries,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2012-11-12,Primo,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2013-02-11,MOOCs,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2013-02-11,Merinda,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2013-02-11,the Mortenson Center,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2015-02-09,New York,MENTIONS
User Education Committee (Disbanded 2018)__Minutes__User Education Committee (Disbanded 2018)_Minutes_2006-01-09,Cantasia,MENTIONS
The Library as Catalyst Project_ Programming the Main Library Building WG__Minutes__The Library as Catalyst Project_ Programming the Main Library Building WG_Minutes_2019-04-30,Jen,MENTIONS
The Library as Catalyst Project_ Programming the Main Library Building WG__Minutes__The Library as Catalyst Project_ Programming the Main Library Building WG_Minutes_2019-04-30,US,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2022-02-01,Atoma Batoma,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2016-09-13,Cindy,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2015-04-12,Cindy,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2015-04-12,Erik,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2015-04-12,Laila,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2015-04-12,Microaggressions,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2015-04-12,Qiang,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2016-11-08,http://www.ala.org/acrl/diversityalliance,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2019-02-12,Atoma Batoma,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2019-02-12,Cindy,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2019-02-12,Columbus,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2019-02-12,Inclusion,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2019-02-12,OH,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2021-10-05,Atoma Batoma,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2021-10-05,Cindy,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2021-10-05,Microaggressions,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2016-08-09,Cindy,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2016-08-09,Ideas,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2016-08-09,Qiang,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2021-11-05,C.M.,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2021-11-05,Chou,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2021-11-05,Illinois,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2021-11-05,Librarianship,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2021-11-05,Microaggressions,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2021-11-05,Practice,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2021-11-05,Qiang,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2019-03-12,Cindy,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2019-06-11,Cindy,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2019-06-11,Krystal,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2019-06-11,North-South Hallway Continue,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2018-09-11,Atoma Batoma,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2020-10-21,Jameatris,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2020-10-21,Jameatris Rimkus,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2018-05-08,Angie,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2018-05-08,Atoma Batoma,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2018-05-08,Cindy,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2018-05-08,Qiang,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2015-11-10,Activities,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2015-11-10,Qiang,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2015-11-10,Suggested,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2018-12-11,Atoma Batoma,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2019-11-12,Jameatris,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2017-10-10,Atoma Batoma,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2017-10-10,Indonesia,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2017-10-10,Jakarta,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2020-07-14,Baldwin,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2020-07-14,Box,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2020-07-14,Cindy,MENTIONS
Diversity Committee__Minutes__Diversity Committee_Minutes_2020-07-14,Hoa,MENTIONS
